,transit
1786,5017
1787,5057
1788,3547
1789,3512
1790,4916
1791,5171
1792,4300
1793,4149
1794,4796
1795,3041
1796,3661
1797,5410
1798,4733
1799,3846
1800,4008
1801,4790
1802,4467
1803,4551
1804,5614
1805,4456
1806,4996
1807,5101
1808,4098
1809,4204
1810,5218
1811,4540
1812,3751
1813,3748
1814,4068
1815,4540
1816,4429
1817,4841
1818,5806
1819,5649
1820,3483
1821,4577
1822,4431
1823,5323
1824,4639
1825,4578
1826,4554
1827,5230
1828,4489
1829,4663
1830,3871
1831,4406
1832,4175
1833,2769
1834,3489
1835,3812
1836,4160
1837,4199
1838,5373
1839,3970
1840,5521
1841,5401
1842,2848
1843,3091
1844,2910
1845,4836
1846,5042
1847,5332
1848,3450
1849,5438
1850,4804
1851,4689
1852,4894
1853,4124
1854,4417
1855,4424
1856,4329
1857,3135
1858,4376
1859,4436
1860,4856
1861,3077
1862,2730
1863,5109
1864,5572
1865,3819
1866,5512
1867,5373
1868,6002
1869,5550
1870,3823
1871,5522
1872,7014
1873,3971
1874,4380
1875,3894
1876,3676
1877,5085
1878,0
1879,0
1880,0
1881,5318
1882,0
1883,5389
1884,6140
1885,5269
1886,5158
1887,5946
1888,5509
1889,5417
1890,0
1891,0
1892,0
1893,10277
1894,9910
1895,0
1896,4712
1897,2774
1898,4596
1899,4108
1900,4367
1901,3539
1902,3426
1903,3416
1904,3796
1905,3469
1906,3249
1907,2295
1908,3725
1909,3196
1910,2006
1911,2031
1912,2204
1913,3176
1914,1716
1915,830
1916,643
1917,387
1918,700
1919,740
1920,947
1921,2871
1922,2847
1923,3386
1924,2478
1925,2532
1926,2413
1927,1597
1928,2737
1929,1702
1930,2687
1931,2973
1932,4404
1933,3235
1934,3273
1935,3185
1936,3230
1937,3377
1938,2093
1939,1995
1940,2378
1941,2619
1942,1956
1943,2678
1944,0
1945,3550
1946,2241
1947,2616
1948,3615
1949,2439
1950,2777
1951,2389
1952,3189
1953,3410
1954,3006
1955,3259
1956,3243
1957,4561
1958,3848
1959,3955
1960,2786
1961,3652
1962,2959
1963,3069
1964,5225
1965,3958
1966,2670
1967,3833
1968,4736
1969,3515
1970,3562
1971,3448
1972,3831
1973,4175
1974,4968
1975,5156
1976,3626
1977,4006
1978,3948
1979,2831
1980,3124
1981,5036
1982,4535
1983,4362
1984,3664
1985,2322
1986,4186
1987,4288
1988,3354
1989,3762
1990,2267
1991,2775
1992,3018
1993,4768
1994,5322
1995,4142
1996,3210
1997,3293
1998,5220
1999,3503
2000,4305
2001,4631
2002,5788
2003,5493
2004,5185
2005,6490
2006,6649
2007,4977
